fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
omission,www.abconnect.com,72.3.164.64,,,
subdomain,www.ac.ubalance.com,13.248.169.48,ns1.namefind.com,,
repetition,www.accubalance.com,52.58.78.16,,,
bitsquatting,www.acebalance.com,46.30.211.38,,,
replacement,www.acibalance.com,154.26.243.177,ns07.domaincontrol.com,,
subdomain,www.acu.balance.com,12.13.211.113,,,
subdomain,www.acubalan.ce.com,104.247.81.51,mail.h-email.net,ns1.parkingcrew.net,
*original,www.acubalance.com,15.197.142.173,mailstore1.secureserver.net,ns45.domaincontrol.com,
hyphenation,www.acu-balance.com,72.52.179.174,mx156.hostedmxserver.com,ns1.parklogic.com,
transposition,www.albconnect.com,34.205.242.146,nsg1.namebrightdns.com,,
bitsquatting,www.alliedweld.com,69.49.228.250,alliedweld.com,ns1.arwainfotech.in,
*original,www.alliedwell.com,3.18.7.81,domain-for-sale.hugedomainsdns.com,,
addition,www.alliedwells.com,3.233.126.24,,,
homoglyph,www.allieelwell.com,192.0.78.24,alt1.aspmx.l.google.com,ns1.wordpress.com,
replacement,www.allisdwell.com,104.21.62.150,2606:4700:3032::ac43:88b6,,
omission,www.astrovital.com,66.45.246.141,,,
subdomain,www.au.diosphere.com,35.223.125.196,,,
bitsquatting,www.audiosphera.com,104.21.85.207,2606:4700:3031::6815:55cf,,
*original,www.audiosphere.com,15.197.148.33,audiosphere-com.mail.protection.outlook.com,ns27.domaincontrol.com,
hyphenation,www.audio-sphere.com,94.126.16.70,,,
addition,www.audiospheres.com,34.149.87.45,,,
bitsquatting,www.ayeview.com,91.195.240.19,,,
replacement,www.bearwell.com,18.119.154.66,nsg1.namebrightdns.com,,
subdomain,www.beautysc.ulpt.com,173.255.194.134,ns1.mytrafficmanagement.com,,
subdomain,www.beautyscu.lpt.com,104.18.20.166,2606:4700::6812:14a6,,
*original,www.beautysculpt.com,13.248.169.48,ns1.namefind.com,,
omission,www.beautyscult.com,108.138.167.109,ns-1206.awsdns-22.org,,
bitsquatting,www.beautyskulpt.com,162.159.140.67,2606:4700:7::43,,
bitsquatting,www.bitvibe.com,23.227.38.74,,,
subdomain,www.cardi.ovista.com,64.190.63.111,localhost,ns1.sedoparking.com,
subdomain,www.cardiov.ista.com,62.116.130.8,,,
*original,www.cardiovista.com,13.248.169.48,ns1.namefind.com,,
omission,www.cardiovita.com,18.233.251.213,,,
omission,www.cardivista.com,68.178.145.166,ns11.domaincontrol.com,,
replacement,www.centacare.com,141.193.213.20,au-smtp-inbound-1.mimecast.com,ns0.dnsmadeeasy.com,
subdomain,www.cleans.weep.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
omission,www.cleanseep.com,121.40.221.14,,,
insertion,www.cleanssweep.com,162.241.216.155,mail.cleanssweep.com,ns1.bluehost.com,
subdomain,www.cleansw.eep.com,69.10.42.213,,,
*original,www.cleansweep.com,86.105.245.69,,,
hyphenation,www.clean-sweep.com,192.0.78.180,mx1-us1.ppe-hosted.com,ns1.wordpress.com,
addition,www.cleansweep1.com,54.148.253.109,ns1-a1.warnerbros.com,,
addition,www.cleansweepa.com,35.71.182.241,ns63.domaincontrol.com,,
addition,www.cleansweepe.com,185.230.61.173,dns1.parastorage.com,,
addition,www.cleansweepp.com,72.52.229.145,mx1.emailsrvr.com,ns1.conceptsrq.com,
addition,www.cleansweeps.com,104.196.196.12,,,
addition,www.cleansweepz.com,34.205.242.146,nsg1.namebrightdns.com,,
bitsquatting,www.cleansweet.com,3.18.7.81,nsg1.namebrightdns.com,,
replacement,www.cleanzweep.com,205.235.26.22,,,
homoglyph,www.clearsweep.com,207.148.248.143,,,
bitsquatting,www.cleensweep.com,13.248.169.48,ns1.namefind.com,,
omission,www.climatcomfort.com,75.2.115.196,,,
subdomain,www.climatecomf.ort.com,216.40.34.37,,,
*original,www.climatecomfort.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
addition,www.climatecomforts.com,3.64.163.50,ns1.dan.com,,
omission,www.cubalance.com,15.197.142.173,mailstore1.secureserver.net,ns57.domaincontrol.com,
subdomain,www.cushma.nwakefield.com,3.130.204.160,nsg1.namebrightdns.com,,
subdomain,www.cushman.wakefield.com,192.200.160.20,wakefieldthermal-com.mail.protection.outlook.com,ns1-08.azure-dns.com,
homoglyph,www.cushmannwakefield.com,91.195.240.123,,,
insertion,www.cushmanswakefield.com,84.32.84.32,mx1.hostinger.com,ns1.dns-parking.com,
subdomain,www.cushmanwak.efield.com,104.247.81.54,mail.h-email.net,ns1.parkingcrew.net,
subdomain,www.cushmanwakef.ield.com,13.248.169.48,ns3.afternic.com,,
omission,www.cushmanwakefeld.com,154.55.225.104,,,
omission,www.cushmanwakefied.com,103.120.80.155,,,
omission,www.cushmanwakefiel.com,104.247.82.172,ns1.parkingcrew.net,,
*original,www.cushmanwakefield.com,52.252.160.142,,,
hyphenation,www.cushman-wakefield.com,217.19.248.132,,,
omission,www.cushmanwakefild.com,103.120.80.155,,,
transposition,www.cushmanwakefiled.com,216.245.213.77,,,
omission,www.cushmanwakeield.com,103.120.80.155,,,
subdomain,www.d.entacare.com,13.248.169.48,ns1.namefind.com,,
bitsquatting,www.dabconnect.com,15.197.142.173,ns51.domaincontrol.com,,
bitsquatting,www.dantacare.com,15.197.148.33,ns47.domaincontrol.com,,
subdomain,www.de.ntacare.com,13.248.169.48,ns5.afternic.com,,
omission,www.denacare.com,15.197.142.173,mailstore1.secureserver.net,ns13.domaincontrol.com,
replacement,www.dent2care.com,34.249.138.199,2a05:d018:964:c0c:ac60:beb3:d5c4:7a41,,
repetition,www.dentaacare.com,89.117.157.74,2a02:4780:11:1100:0:2567:58fa:3,mx1.hostinger.com,ns1.dns-parking.com
omission,www.dentacar.com,3.94.41.167,nsg1.namebrightdns.com,,
bitsquatting,www.dentacard.com,162.159.134.42,,,
*original,www.dentacare.com,199.59.243.225,,,
addition,www.dentacares.com,52.71.57.184,nsg1.namebrightdns.com,,
bitsquatting,www.dentacase.com,3.64.163.50,ns1.dan.com,,
vowel-swap,www.dentacore.com,217.160.0.230,2001:8d8:100f:f000::22d,,
vowel-swap,www.dentacure.com,141.98.13.101,,,
bitsquatting,www.dentakare.com,217.160.0.83,2001:8d8:100f:f000::21e,,
omission,www.dentcare.com,13.248.169.48,ns1.namefind.com,,
bitsquatting,www.dentecare.com,15.197.142.173,ns25.domaincontrol.com,,
bitsquatting,www.denticare.com,173.254.49.232,mail.denticare.com,ns1.rhostbh.com,
vowel-swap,www.dentocare.com,81.169.145.64,2a01:238:20a:202:1064::,smtpin.rzone.de,ns1.webmailer.de
replacement,www.dentscare.com,3.223.248.1,dentscare-com.mail.protection.outlook.com,ns-126.awsdns-15.com,
vowel-swap,www.dentucare.com,64.29.151.221,,,
replacement,www.dentycare.com,52.71.57.184,nsg1.namebrightdns.com,,
replacement,www.dentzcare.com,91.195.240.19,,,
omission,www.detacare.com,85.10.159.74,2a01:7c8:f0:1071::8d65:3a00,mx.transip.email,ns0.transip.net
omission,www.edequip.com,207.148.248.143,,,
omission,www.edexplore.com,185.197.75.37,edexplore.com,ns1.inmotionhosting.com,
omission,www.edihealth.com,216.39.107.196,mx1.hc5603-35.iphmx.com,ns-1224.awsdns-25.org,
omission,www.edocare.com,81.22.245.92,,,
omission,www.edtech.com,161.35.104.214,alt1.aspmx.l.google.com,ns1.digitalocean.com,
bitsquatting,www.eedtech.com,199.34.228.57,eedtech-com.mail.protection.outlook.com,ns75.domaincontrol.com,
omission,www.eeview.com,3.94.41.167,nsg1.namebrightdns.com,,
transposition,www.eharwell.com,98.129.229.52,,,
bitsquatting,www.eieview.com,15.197.148.33,mailstore1.secureserver.net,ns77.domaincontrol.com,
bitsquatting,www.eldocare.com,35.209.158.221,,,
homoglyph,www.embocare.com,142.234.89.179,,,
transposition,www.emdtech.com,34.149.87.45,,,
replacement,www.encocare.com,15.197.148.33,ns19.domaincontrol.com,,
omission,www.endcare.com,13.248.169.48,ns5.afternic.com,,
replacement,www.endocafe.com,199.34.228.172,921747015.pamx1.hotmail.com,ns63.domaincontrol.com,
omission,www.endocar.com,18.119.154.66,nsg1.namebrightdns.com,,
bitsquatting,www.endocard.com,18.233.251.213,,,
hyphenation,www.endo-care.com,217.160.0.54,2001:8d8:100f:f000::20a,,
addition,www.endocares.com,52.71.57.184,nsg1.namebrightdns.com,,
replacement,www.endocars.com,183.181.81.159,,,
bitsquatting,www.endocase.com,81.22.96.103,mx.endocase.com,ns1.domaintescil.com,
replacement,www.endocate.com,34.98.99.30,ns69.domaincontrol.com,,
vowel-swap,www.endocore.com,3.94.41.167,nsg1.namebrightdns.com,,
vowel-swap,www.endocure.com,207.148.248.143,,,
bitsquatting,www.endokare.com,135.181.164.29,endokare.com,webs16.futuresouls.com,
bitsquatting,www.eneocare.com,23.227.38.74,,,
omission,www.enocare.com,18.119.154.66,ns1.namebrightdns.com,,
replacement,www.ensocare.com,52.44.246.186,,,
omission,www.entacare.com,13.248.169.48,ns1.namefind.com,,
bitsquatting,www.entocare.com,81.88.57.96,,,
omission,www.europulse.com,18.233.251.213,,,
subdomain,www.eye.view.com,3.229.159.122,,,
insertion,www.eye3view.com,15.197.148.33,ns29.domaincontrol.com,,
insertion,www.eyesview.com,15.197.148.33,mailstore1.secureserver.net,ns13.domaincontrol.com,
omission,www.eyevie.com,3.94.41.167,nsg1.namebrightdns.com,,
*original,www.eyeview.com,104.21.89.42,2606:4700:3032::ac43:9c58,,
hyphenation,www.eye-view.com,208.91.197.27,,,
addition,www.eyeviews.com,13.248.169.48,ns1.namefind.com,,
subdomain,www.f.itvibe.com,199.59.243.225,,,
subdomain,www.familyful.fill.com,13.248.169.48,ns1.namefind.com,,
subdomain,www.familyfulf.ill.com,13.248.169.48,ns1.namefind.com,,
*original,www.familyfulfill.com,185.20.205.54,,,
bitsquatting,www.fatvibe.com,13.248.169.48,ns5.afternic.com,,
subdomain,www.ferti.lehope.com,3.64.163.50,ns1.dan.com,,
subdomain,www.fertil.ehope.com,104.247.81.52,mail.h-email.net,ns1.parkingcrew.net,
replacement,www.fertilehome.com,15.197.148.33,ns73.domaincontrol.com,,
*original,www.fertilehope.com,64.37.120.101,,,
addition,www.fertilehopes.com,15.197.148.33,mailstore1.secureserver.net,ns27.domaincontrol.com,
bitsquatting,www.fidvibe.com,103.247.8.73,2001:df0:27b:2::7:41d5,fidvibe.com,ns1.rumahweb.com
replacement,www.figvibe.com,15.197.148.33,ns41.domaincontrol.com,,
bitsquatting,www.fitfibe.com,46.235.42.56,2a00:d640:d640:9999::2eeb:2a38,mx-in-1.webreus.nl,ns10.webreus.net
omission,www.fitibe.com,89.221.213.32,,,
insertion,www.fitrvibe.com,15.197.148.33,ns05.domaincontrol.com,,
repetition,www.fittvibe.com,66.198.240.25,mail.fittvibe.com,ns1.supercp.com,
subdomain,www.fitv.ibe.com,13.248.169.48,ns1.namefind.com,,
omission,www.fitvib.com,13.248.169.48,ns3.afternic.com,,
*original,www.fitvibe.com,212.178.198.70,,,
hyphenation,www.fit-vibe.com,208.109.61.111,alt1.aspmx.l.google.com,ns49.domaincontrol.com,
addition,www.fitvibe0.com,137.184.83.255,,,
addition,www.fitvibee.com,23.227.38.74,,,
addition,www.fitvibes.com,15.197.148.33,mailstore1.secureserver.net,ns67.domaincontrol.com,
addition,www.fitvibez.com,52.71.57.184,nsg1.namebrightdns.com,,
replacement,www.fitvibs.com,23.227.38.74,,,
bitsquatting,www.fitvice.com,3.64.163.50,ns1.dan.com,,
omission,www.fitvie.com,18.119.154.66,nsg1.namebrightdns.com,,
replacement,www.fitvine.com,15.197.204.56,ns01.cashparking.com,,
replacement,www.fitvive.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
bitsquatting,www.fitvybe.com,15.197.148.33,mailstore1.secureserver.net,ns31.domaincontrol.com,
omission,www.fivibe.com,52.58.78.16,,,
subdomain,www.foo.tvital.com,13.248.169.48,ns1.namefind.com,,
bitsquatting,www.foodvital.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
subdomain,www.footv.ital.com,35.82.156.63,2600:1f14:ea2:fa00:e21b:246a:4174:fd83,,
addition,www.footvitals.com,70.32.88.3,ns03.domaincontrol.com,,
omission,www.foovital.com,91.195.240.19,,,
omission,www.ftvibe.com,34.149.87.45,,,
subdomain,www.g.astrovital.com,66.45.246.141,,,
subdomain,www.gastrov.ital.com,35.82.156.63,2600:1f14:ea2:fa00:e21b:246a:4174:fd83,,
replacement,www.gastroviral.com,217.160.0.82,2001:8d8:100f:f000::288,,
omission,www.gastrovita.com,5.22.145.121,2a00:18e0:5:2:7577:4e4d:413b:f507,,
*original,www.gastrovital.com,198.185.159.144,,,
addition,www.gastrovitals.com,91.195.240.19,,,
subdomain,www.ge.noinsight.com,38.239.79.57,,,
subdomain,www.ge.ripsych.com,208.91.197.27,,,
subdomain,www.ge.riwell.com,104.247.81.52,mail.h-email.net,ns1.parkingcrew.net,
replacement,www.gearwell.com,15.197.148.33,barracuda.ecxsystems.com,ns27.domaincontrol.com,
subdomain,www.gen.oinsight.com,13.248.169.48,ns1.namefind.com,,
vowel-swap,www.geneinsight.com,3.130.204.160,nsg1.namebrightdns.com,,
omission,www.geninsight.com,15.197.142.173,geninsight-com.mail.protection.outlook.com,ns03.domaincontrol.com,
subdomain,www.genoin.sight.com,192.64.119.254,,,
subdomain,www.genoinsig.ht.com,64.99.64.37,,,
*original,www.genoinsight.com,192.0.78.24,ns1.wordpress.com,,
vowel-swap,www.genuinsight.com,199.34.228.50,,,
omission,www.geoinsight.com,199.60.103.228,2606:2c40::c73c:671c,,
bitsquatting,www.gerawell.com,23.238.163.147,,,
subdomain,www.geri.psych.com,64.98.135.6,,,
*original,www.geripsych.com,208.91.197.27,,,
hyphenation,www.geri-psych.com,208.91.197.27,,,
*original,www.geriwell.com,18.233.251.213,,,
hyphenation,www.geri-well.com,198.185.159.144,,,
replacement,www.geropsych.com,3.94.41.167,nsg1.namebrightdns.com,,
omission,www.gerwell.com,87.230.63.190,2a01:488:42:1000:57e6:3fbe:40:cd8c,,
bitsquatting,www.gerywell.com,173.201.191.4,ns41.domaincontrol.com,,
omission,www.goldenears.com,84.16.88.2,2001:1600:cafe:4444:0:2::,,
replacement,www.goldengears.com,207.148.248.143,,,
replacement,www.goldentears.com,18.233.251.213,,,
subdomain,www.goldeny.ears.com,205.178.189.129,,,
omission,www.goldenyear.com,3.64.163.50,ns1.dan.com,,
hyphenation,www.golden-years.com,13.248.169.48,ns1.namefind.com,,
addition,www.goldenyears4.com,15.197.148.33,goldenyears4-com.mail.protection.outlook.com,ns21.domaincontrol.com,
omission,www.goldenyers.com,23.227.38.74,,,
homoglyph,www.golderyears.com,160.153.0.85,golderyears-com.mail.protection.outlook.com,ns49.domaincontrol.com,
vowel-swap,www.goldinyears.com,15.197.142.173,mailstore1.secureserver.net,ns37.domaincontrol.com,
omission,www.goldnyears.com,198.185.159.144,,,
subdomain,www.grace.fulend.com,3.18.7.81,nsg1.namebrightdns.com,,
omission,www.gracefuled.com,162.214.129.144,,,
bitsquatting,www.habconnect.com,85.233.160.215,,,
omission,www.harwell.com,216.40.34.37,,,
subdomain,www.hea.rwell.com,104.247.82.52,mail.h-email.net,ns1.parkingcrew.net,
subdomain,www.heal.thride.com,103.224.182.253,park-mx.above.com,ns1.abovedomains.com,
subdomain,www.healt.hride.com,52.71.57.184,nsg1.namebrightdns.com,,
subdomain,www.health.ybite.com,3.130.204.160,nsg1.namebrightdns.com,,
insertion,www.healthbride.com,91.195.240.19,,,
insertion,www.healthescripts.com,15.197.148.33,mailstore1.secureserver.net,ns01.domaincontrol.com,
bitsquatting,www.healthibite.com,104.21.31.217,2606:4700:3031::ac43:b401,,
omission,www.healthide.com,91.195.240.12,,,
vowel-swap,www.healthrede.com,206.188.192.226,,,
subdomain,www.healthri.de.com,54.153.56.183,,,
replacement,www.healthrice.com,3.94.41.167,nsg1.namebrightdns.com,,
omission,www.healthrid.com,18.119.154.66,nsg1.namebrightdns.com,,
*original,www.healthride.com,15.197.148.33,alt1.aspmx.l.google.com,ns03.domaincontrol.com,
hyphenation,www.health-ride.com,208.91.197.27,,,
addition,www.healthrider.com,96.45.82.200,,,
addition,www.healthrides.com,13.248.169.48,ns3.afternic.com,,
replacement,www.healthrise.com,74.208.236.123,2607:f1c0:100f:f000::200,,
bitsquatting,www.healthryde.com,15.197.142.173,ns55.domaincontrol.com,,
subdomain,www.healths.cripts.com,13.248.169.48,ns1.namefind.com,,
omission,www.healthscript.com,13.248.169.48,ns3.afternic.com,,
*original,www.healthscripts.com,141.193.213.10,healthscripts-com.mail.protection.outlook.com,ns63.domaincontrol.com,
hyphenation,www.health-scripts.com,15.197.142.173,ns27.domaincontrol.com,,
bitsquatting,www.healthside.com,15.197.148.33,ns49.domaincontrol.com,,
bitsquatting,www.healthvide.com,67.227.167.12,healthvide.com,ns1201.insty.me,
omission,www.healthybit.com,15.197.148.33,mx1-us1.ppe-hosted.com,ns43.domaincontrol.com,
*original,www.healthybite.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
hyphenation,www.healthy-bite.com,104.21.38.106,2606:4700:3032::6815:266a,,
addition,www.healthybites.com,34.98.99.30,ns21.domaincontrol.com,,
addition,www.healthybitez.com,23.227.38.74,,,
replacement,www.healthybitz.com,207.148.248.143,,,
bitsquatting,www.healthybyte.com,216.250.121.3,,,
replacement,www.healthynite.com,79.141.160.2,healthynite.com,ns1.swiftydns.com,
insertion,www.healthyride.com,207.148.248.143,,,
bitsquatting,www.healthyrite.com,18.119.154.66,nsg1.namebrightdns.com,,
insertion,www.healthyscripts.com,3.18.7.81,nsg1.namebrightdns.com,,
replacement,www.healthyvite.com,15.197.148.33,mailstore1.secureserver.net,ns11.domaincontrol.com,
omission,www.healtybite.com,52.60.87.163,,,
subdomain,www.healwell.wounds.com,104.247.82.50,mail.h-email.net,ns1.parkingspa.com,
subdomain,www.healwellw.ounds.com,3.130.204.160,nsg1.namebrightdns.com,,
subdomain,www.healwellwo.unds.com,13.248.169.48,ns5.afternic.com,,
bitsquatting,www.heapwell.com,23.227.38.74,,,
insertion,www.heardwell.com,208.109.40.231,heardwell-com.mail.protection.outlook.com,ns31.domaincontrol.com,
insertion,www.hearswell.com,192.138.16.80,hearswell.com,ns100.ragesw.com,
insertion,www.heartwell.com,198.160.135.9,heartwell-com.mail.eo.outlook.com,foghorn.baptisthealth.net,
omission,www.hearwel.com,15.197.148.33,ns27.domaincontrol.com,,
*original,www.hearwell.com,44.226.124.146,,,
hyphenation,www.hear-well.com,34.149.87.45,,,
addition,www.hearwell1.com,192.169.154.211,,,
replacement,www.heatwell.com,108.177.122.121,2607:f8b0:4023:1006::79,,
transposition,www.herawell.com,162.241.30.48,alt1.aspmx.l.google.com,ns1.bluehost.com,
omission,www.herwell.com,64.187.239.229,,,
subdomain,www.ho.pecure.com,3.98.204.93,mx1.ewebdevelopment.com,ns1.power-dns.com,
replacement,www.homecure.com,3.64.163.50,ns1.dan.com,,
subdomain,www.homew.ellcare.com,107.23.227.252,nsg1.namebrightdns.com,,
subdomain,www.homewe.llcare.com,64.190.63.111,localhost,ns1.sedoparking.com,
subdomain,www.homewel.lcare.com,75.126.104.246,,,
*original,www.homewellcare.com,13.248.169.48,ns1.namefind.com,,
addition,www.homewellcares.com,198.71.233.156,,,
omission,www.hopcure.com,52.20.84.62,mx1-forward.squadhelp.com,ns1.squadhelp.com,
insertion,www.hope4cure.com,182.50.151.83,aliaih-com.mail.protection.outlook.com,ns57.domaincontrol.com,
vowel-swap,www.hopecare.com,34.98.99.30,ns29.domaincontrol.com,,
vowel-swap,www.hopecore.com,3.18.7.81,nsg1.namebrightdns.com,,
bitsquatting,www.hopecube.com,18.119.154.66,nsg1.namebrightdns.com,,
omission,www.hopecur.com,23.82.255.16,,,
bitsquatting,www.hopecura.com,15.197.148.33,ns15.domaincontrol.com,,
*original,www.hopecure.com,207.148.248.143,,,
bitsquatting,www.hopesure.com,18.119.154.66,nsg1.namebrightdns.com,,
replacement,www.hopewellcare.com,70.32.23.7,hopewellcare-com.mail.protection.outlook.com,ns13.domaincontrol.com,
bitsquatting,www.hungwell.com,206.188.192.76,,,
homoglyph,www.iabconnect.com,3.130.204.160,nsg1.namebrightdns.com,,
bitsquatting,www.iedtech.com,169.62.169.234,alt2.aspmx.l.google.com,ns75.domaincontrol.com,
subdomain,www.im.plantdent.com,175.126.123.156,kr1-aspmx1.worksmobile.com,cns1.simplexi.com,
subdomain,www.implan.tdent.com,13.248.169.48,ns1.namefind.com,,
omission,www.implandent.com,69.49.115.40,,,
subdomain,www.implant.dent.com,13.248.169.48,ns3.afternic.com,,
*original,www.implantdent.com,66.45.246.141,,,
hyphenation,www.implant-dent.com,3.94.41.167,nsg1.namebrightdns.com,,
insertion,www.implantsdent.com,3.130.204.160,nsg1.namebrightdns.com,,
vowel-swap,www.indocare.com,103.145.226.85,mail1.indocare.com,ns1.dewaweb.com,
subdomain,www.infe.cguard.com,78.142.231.22,,,
insertion,www.infectguard.com,13.248.169.48,ns5.afternic.com,,
homoglyph,www.inplantdent.com,183.111.161.238,bn64-041.cafe24.com,ns1.cafe24dns.co.kr,
replacement,www.iptivision.com,23.227.38.74,,,
omission,www.itvibe.com,199.59.243.225,,,
replacement,www.jedtech.com,142.54.202.96,,,
replacement,www.kabconnect.com,94.46.13.176,kabconnect-com.mail.protection.outlook.com,ns6.webcomum.com,
replacement,www.kedtech.com,13.248.169.48,ns3.afternic.com,,
omission,www.kimberlyclark.com,205.203.71.250,cosmin.ns.cloudflare.com,,
*original,www.kimberly-clark.com,104.16.195.53,2606:4700::6810:c335,,
addition,www.kimberly-clarke.com,104.21.71.35,2606:4700:3030::6815:4723,,
bitsquatting,www.kimberly-klark.com,160.153.0.178,mailstore1.secureserver.net,ns57.domaincontrol.com,
replacement,www.kindbalance.com,18.119.154.66,nsg1.namebrightdns.com,,
omission,www.kinvibe.com,166.88.24.120,,,
bitsquatting,www.kleansweep.com,207.148.248.143,,,
bitsquatting,www.klimatecomfort.com,66.96.162.138,,,
subdomain,www.lab.connect.com,104.18.39.99,2606:4700:4400::6812:2763,,
subdomain,www.labc.onnect.com,162.210.196.171,,,
vowel-swap,www.labcannect.com,15.197.148.33,ns17.domaincontrol.com,,
subdomain,www.labco.nnect.com,121.254.178.253,,,
omission,www.labconect.com,34.205.242.146,nsg1.namebrightdns.com,,
omission,www.labconnec.com,199.59.243.225,,,
*original,www.labconnect.com,35.239.44.108,,,
hyphenation,www.lab-connect.com,81.169.145.78,2a01:238:20a:202:1078::,smtpin.rzone.de,docks14.rzone.de
addition,www.labconnectd.com,15.197.148.33,ns19.domaincontrol.com,,
addition,www.labconnectr.com,52.212.52.84,,,
addition,www.labconnectx.com,15.197.204.56,ns01.cashparking.com,,
bitsquatting,www.labkonnect.com,13.248.169.48,ns3.afternic.com,,
bitsquatting,www.lacconnect.com,3.94.41.167,nsg1.namebrightdns.com,,
omission,www.laconnect.com,207.148.248.143,,,
homoglyph,www.ladconnect.com,67.227.144.242,mx28a.anti-spam-premium.com,ns4023.rs.controladordns.com,
replacement,www.lanconnect.com,147.253.137.164,mail.lanconnect.com,ns1.centos-webpanel.com,
vowel-swap,www.langwell.com,204.44.192.91,langwell.com,ns2031.websiteservername.com,
bitsquatting,www.larconnect.com,52.71.57.184,ns1.namebrightdns.com,,
replacement,www.lavconnect.com,15.197.148.33,ns77.domaincontrol.com,,
transposition,www.lbaconnect.com,213.186.33.5,,,
omission,www.lbconnect.com,3.98.114.25,46hltw2lz6psx6xkyt3ycxq6zh5olverpl4fofuiiplzqrbihz3q.mx-verification.google.com,ns03.domaincontrol.com,
bitsquatting,www.lcbconnect.com,84.32.84.32,ns1.dns-parking.com,,
omission,www.leansweep.com,104.21.30.67,2606:4700:3035::6815:1e43,,
bitsquatting,www.ledequip.com,13.248.169.48,ns3.afternic.com,,
bitsquatting,www.ledtech.com,205.178.189.131,,,
subdomain,www.li.festart.com,13.248.169.48,ns1.namefind.com,,
subdomain,www.lif.estart.com,3.64.163.50,ns1.dan.com,,
subdomain,www.life.start.com,204.79.197.219,,,
omission,www.lifesart.com,207.148.248.145,,,
omission,www.lifestar.com,192.252.146.10,,,
replacement,www.lifestarr.com,199.60.103.228,2606:2c40::c73c:671c,,
*original,www.lifestart.com,15.197.142.173,mailstore1.secureserver.net,ns63.domaincontrol.com,
hyphenation,www.life-start.com,15.197.148.33,ns23.domaincontrol.com,,
addition,www.lifestart2.com,204.11.56.37,ns1637.ztomy.com,,
addition,www.lifestartw.com,192.252.144.61,,,
addition,www.lifestartx.com,3.130.204.160,nsg1.namebrightdns.com,,
replacement,www.lifestarz.com,104.164.2.28,,,
omission,www.lifestat.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
transposition,www.lifestrat.com,98.129.229.42,,,
omission,www.lifetart.com,192.0.78.24,ns1.wordpress.com,,
replacement,www.lingwell.com,198.54.114.144,alt1.aspmx.l.google.com,dns1.namecheaphosting.com,
replacement,www.litestart.com,3.64.163.50,ns1.dan.com,,
bitsquatting,www.livestart.com,3.209.115.164,,,
vowel-swap,www.longwell.com,219.90.121.149,,,
replacement,www.lsbconnect.com,52.71.57.184,nsg1.namebrightdns.com,,
subdomain,www.lu.ngwell.com,3.94.41.167,nsg1.namebrightdns.com,,
vowel-swap,www.lubconnect.com,18.232.147.51,ns43.domaincontrol.com,,
subdomain,www.lun.gwell.com,64.190.63.111,localhost,ns1.sedoparking.com,
*original,www.lungwell.com,15.197.148.33,ns29.domaincontrol.com,,
omission,www.lunwell.com,93.89.226.17,mx,eu.dnsenable.com,
subdomain,www.m.edequip.com,207.148.248.143,,,
subdomain,www.m.edexplore.com,185.197.75.37,,,
replacement,www.m3dtech.com,66.96.149.22,,,
bitsquatting,www.mabconnect.com,3.128.221.203,2600:1f16:389:3100:20ef:8b14:2b57:72b3,,
bitsquatting,www.madexplore.com,34.205.242.146,nsg1.namebrightdns.com,,
bitsquatting,www.madtech.com,208.91.197.27,,,
homoglyph,www.mcbtech.com,34.205.242.146,domain-for-sale.hugedomainsdns.com,,
